Product_Input,Cheapest_Original_Material,Original_Price_USD,EISc_Original_Score,Sustainable_Alternative,Alternative_Price_USD,EISc_Alternative_Score
Blister Packaging,Ink (Petroleum-based),6.15,8,Soy-based Ink,6.13,3
Electronic Housing,Polyvinyl Butyral,2.08,8,Biodegradable PVB,2.04,3
Packaging Box,Cork Packaging,1.98,8,Bamboo Packaging,1.92,3
General Appliance Part,Zein (Corn Protein),9.69,7,Plant-based Protein Films,9.94,2
Shoe Sole,Silicone Rubber,6.23,6, Natural Latex or Biodegradable Silicone,6.15,3
Storage Container,Bio-based Bioplastic,5.42,8, Plant-based Bioplastics,5.45,3
Electronic Housing,Cork Packaging,8.17,8, Bamboo Packaging,8.17,3
Sportswear,Polyester Fiberfill,3.18,8,Kapok or Wool,3.26,2
Electronic Housing,Conventional Soil Pots,7.33,7,Biodegradable Peat Pots,7.16,2
Wallet,Grape Leather,5.79,6,Wine Industry Byproduct Leather,5.7,2
Electronic Housing,Glass Containers,6.33,8,Recycled Glass,6.39,3
General Appliance Part,Recycled Paper Bags,1.18,7, Compostable Paper Bags,1.18,3
Electronic Housing,Bamboo Pulp,7.41,8, Recycled Pulp,7.61,3
Automotive Component,Coal Tar,8.75,9,Bio-based Tar,8.88,3
General Appliance Part,DDT (Historical),5.64,10,Natural Pesticides,5.59,2
Automotive Component,Recycled Paperboard,3.62,7,Recycled Paper or Bamboo Paper,3.64,2
Industrial Coating,Phenolic Resin,7.88,8, Bio-based Phenolic Resin,7.86,3
Packaging Box,Kevlar,6.67,9,High-strength Natural Fibers,6.54,4
Belt,Cork Leather,0.83,7,Tree Bark Leather,0.82,3
Packaging Box,Hempcrete,8.92,7,Bamboo-based Insulation,8.99,3
Automotive Component,Rock Wool,5.27,8,Hemp Wool Insulation,5.39,3
General Appliance Part,Disposable Plates,2.74,9,Bamboo or Leaf Plates,2.81,2
Towel,Conventional Cotton,7.38,7,Organic Cotton or Hemp,7.51,3
Packaging Box,Chlorofluorocarbons,3.11,10,Natural Refrigerants,3.09,3
Packaging Box,FSC-Certified Wood,3.53,8, Sustainable Wood,3.52,3
Packaging Box,PVB,2.26,8,Recycled Glass or Biodegradable PVB,2.31,3
Electronic Housing,Agar,1.63,8,Plant-based Agar,1.62,3
Clothing Apparel,Recycled Carbon Fiber,1.07,8, Recycled Carbon Fiber Composites,1.09,3
General Appliance Part,Sisal,5.44,8,Hemp or Bamboo Fiber,5.48,3
Automotive Component,Recycled Steel,9.19,8,Recycled Steel,9.14,2
Automotive Component,Recycled Cardboard,3.01,7,Recycled Paperboard,3.06,3
Packaging Box,Paper Packaging,3.93,8, Biodegradable Paper Packaging,3.98,3
Water Bottle,Milk Protein Plastics,2.94,8,Plant-based Plastics,2.87,3
General Appliance Part,Disposable Plates,6.28,9,Palm Leaf or Areca Leaf Plates,6.43,2
Disposable Cutlery,Plastic Straws,3.28,9,Bamboo or Metal Straws,3.22,2
General Appliance Part,Viscose Rayon,5.0,8,Lyocell,4.85,3
General Appliance Part,Coffee Ground Composites,7.54,5,Recycled Coffee Biocomposites,7.64,2
General Appliance Part,Polymethyl Methacrylate (PMMA),8.13,9, Recycled PMMA,8.1,3
Electronic Housing,Propylene Oxide,7.71,9,Enzymatic Processes,7.78,3
Bag,Fiberglass Insulation,9.29,9,Cellulose Insulation,9.51,3
Sponge,Methyl Cellulose,9.32,7,Natural Thickeners,9.46,2
General Appliance Part,PCB Capacitors,9.97,10,Bio-based Capacitors,9.9,4
Disposable Cutlery,Phthalate Plasticizers,5.88,9,Citrate-based Plasticizers,5.89,3
Automotive Component,Polyvinyl Alcohol (PVA),9.19,8, Biodegradable PVA,9.4,3
Wallet,Leather,7.44,9, Plant-based Leather,7.24,3
Packaging Box,Plant-based Paint,4.49,7,Water-based Paint,4.38,2
Disposable Cutlery,Plastic Packaging,4.21,10,Paper-based Packaging,4.32,2
Electronic Housing,Seaweed,9.04,8,Bio-based Seaweed Packaging,9.24,3
General Appliance Part,Expanded Polypropylene,9.56,8,Recycled Polypropylene,9.47,3
Eyeglass Frame,Ethyl Cellulose,5.35,7,Plant-based Cellulose,5.32,2
Automotive Component,Glass Wool,2.09,8,Cellulose Insulation,2.05,3
Sofa Cushion,Polyurethane Foam,7.16,8,Recycled Denim or Sheeps Wool,7.16,3
Automotive Component,Recycled Paper,9.67,7,Recycled Paper or Plant-based Paper,9.45,2
Packaging Box,Recycled Wool,0.92,8, Recycled Wool Insulation,0.92,3
Packaging Box,Recycled Paper Bags,6.2,7,Compostable Paper Bags,6.17,3
General Appliance Part,Recycled Glass Bottles,9.32,8,Glass or Biodegradable Bottles,9.23,3
Molded Part,Sulfuric Acid,5.61,9,Citric Acid for Light Cleaning,5.75,2
Eyeglass Frame,Ethyl Cellulose,9.45,7,Plant-based Cellulose,9.35,2
Packaging Box,Fluoropolymers,4.6,10,Silicon-based Polymers,4.57,4
Bag,Coconut Fiber,4.23,8, Bamboo Fiber,4.27,3
Eyeglass Frame,Cellulose Propionate,8.65,7,Bio-based Cellulose,8.49,2
Electronic Housing,Chlorofluorocarbons,8.64,10,Natural Refrigerants,8.58,3
Circuit Board,Epoxy Resin,6.04,9,Bio-based Resin,5.86,3
General Appliance Part,Bamboo Charcoal,4.84,8,Recycled Charcoal,4.88,3
Blanket,Polyester Clothing,0.99,8,Organic Cotton or Hemp Fabric,1.0,2
General Appliance Part,Coconut Shell,5.66,8,Compostable Shell,5.61,3
Packaging Box,Ethylene Vinyl Acetate (EVA),6.22,8, Recycled EVA,6.33,3
Packaging Box,Polyvinyl Alcohol (PVA),4.54,8, Biodegradable PVA,4.55,3
Phone Case,Plastic Packaging,4.52,10,Paper-based Packaging,4.61,2
Electronic Housing,Polybutene,3.5,8, Bio-based Polybutene,3.51,3
Packaging Box,Mica,2.65,8,Recycled Glass,2.65,3
Packaging Box,Sunflower Oil,1.88,8, Plant-based Oil,1.93,3
Electronic Housing,Compostable PLA,1.9,7,Plant-based PLA,1.92,2
Electronic Housing,Butylated Hydroxyanisole,3.88,8,Vitamin E (Tocopherol),3.99,2
General Appliance Part,Polybutylene,4.91,8,Bio-based Polyolefins,4.77,3
Automotive Component,Acrylic Yarn,8.26,8,Bamboo Yarn or Organic Cotton Yarn,8.18,2
General Appliance Part,Expanded Polypropylene,9.14,8,Recycled Polypropylene,8.89,3
Storage Container,Plastic Beads,6.67,8,Glass or Wooden Beads,6.48,3
Towel,Cotton Waste,1.9,8,Hemp or Organic Cotton,1.89,3
Automotive Component,Trichloroethylene,6.6,9,Aqueous Cleaners,6.74,3
Electronic Housing,Acrylonitrile,4.91,9,Bio-based Nitriles,4.9,3
Film,Cellulose Propionate,4.42,7,Bio-based Cellulose,4.53,2
Electronic Housing,PCB Capacitors,1.91,10,Bio-based Capacitors,1.95,4
Clothing Apparel,Abaca Fiber,8.3,7,Banana Plant Fiber,8.34,3
Disposable Cutlery,Polyethylene (Plastic),7.79,9,Jute or Cotton,7.78,2
Electronic Housing,Vinyl Upholstery,8.34,9,Cork Leather or Fabric,8.48,3
Automotive Component,Recycled Aluminum Cans,3.29,8,Recycled Aluminum,3.25,3
Water Pipe,PVC Foam,4.25,8,Recycled Plastic Foam,4.14,3
Electronic Housing,Aluminum Foil,8.86,8,Reusable Beeswax Wrap,8.71,2
Toy,Plastic Beads,9.83,8,Glass or Wooden Beads,10.11,3
Disposable Cutlery,Recycled Plastic,7.56,9,Plant-based Plastic,7.35,3
General Appliance Part,Rice Husk,1.55,8,Compostable Rice Husk,1.51,3
Automotive Component,Toluene,5.34,9,Water-based or Low-VOC Solvents,5.43,3
Packaging Box,Ozone-depleting Substances,9.39,10,Natural Refrigerants,9.49,3
Phone Case,Thermoplastic Elastomer (TPE),2.65,8, Biodegradable TPE,2.62,3
Phone Case,Plastic Bottles,3.24,9,Glass or Metal Bottles,3.25,2
Car Seat,Polyurethane Foam,5.61,9,Natural Latex or Coconut Fiber,5.62,3
Electronic Housing,Methyl Methacrylate,3.72,8,Natural Acrylates,3.81,3
Stockings,Nylon Bristles,5.02,7,Bamboo or Plant-based Bristles,5.09,2
General Appliance Part,Polyisobutylene,5.97,8,Natural Rubber Alternatives,5.94,3
Packaging Box,Biodegradable Paint,6.78,7, Natural Paints,6.64,2
Electronic Housing,Jute,6.2,8,Bamboo Fiber,6.29,3
Blanket,Bio-based Polyester,7.49,7,Recycled Polyester,7.33,2
General Appliance Part,Isocyanates,4.02,10,Natural Polyols or Bio-based Polyurethanes,4.13,4
Packaging Box,Methyl Bromide,6.31,10,Steam Treatment,6.18,2
Automotive Component,Asbestos Cement,7.62,10,Fiber-reinforced Cement,7.54,3
General Appliance Part,Ethylene Vinyl Alcohol,4.94,8,Natural Barrier Materials,4.84,3
Automotive Component,Polymethyl Methacrylate (PMMA),0.82,9, Recycled PMMA,0.82,3
Automotive Component,Polyisoprene,5.0,8, Natural Rubber,5.12,3
Adhesive,Polylactic Acid (PLA),6.82,6,Compostable PLA,6.87,2
Electronic Housing,Methyl Isocyanate,4.03,10,Non-isocyanate Chemistry,4.06,4
Electronic Housing,Recycled Glass Bottles,7.37,8,Glass or Biodegradable Bottles,7.29,3
Grocery Bag,Recycled Polyethylene,4.04,8,Recycled Polyethylene or Biodegradable Polyethylene,4.03,3
Automotive Component,Polyvinyl Alcohol,2.89,8,Biodegradable PVA,2.88,3
General Appliance Part,Recycled Granite,5.7,8, Recycled Granite or Recycled Glass,5.76,3
Automotive Component,Polyoxymethylene,9.46,8,Natural Acetals,9.38,3
Circuit Board,Epoxy Resin,0.54,9,Bio-based Resin,0.54,3
Electronic Housing,Rapeseed Oil,4.75,8, Vegetable-based Oil,4.81,3
Packaging Box,Sisal,7.07,8,Hemp or Bamboo Fiber,7.07,3
General Appliance Part,Methyl Bromide,8.8,10,Steam Treatment,8.69,2
Electronic Housing,Recycled Paper Straws,1.8,8,Compostable Paper Straws,1.78,3
Packaging Box,Biodegradable Paint,3.39,7, Natural Paints,3.4,2
Shoe Sole,Natural Rubber,8.83,8,Plant-based Rubber,9.03,3
Automotive Component,Bisphenol-A,7.59,9,Plant-based Phenols,7.77,3
Automotive Component,Recycled Granite,7.91,8, Recycled Granite or Recycled Glass,8.05,3
Electronic Housing,Conventional Fertilizers,1.4,9,Organic Fertilizers,1.4,3
General Appliance Part,Seaweed,7.92,8,Bio-based Seaweed Packaging,8.1,3
Non-stick Pan,Teflon,9.27,10,Ceramic Coating or Cast Iron,9.54,4
Electronic Housing,Acrylic Yarn,2.07,8,Bamboo Yarn or Organic Cotton Yarn,2.02,2
Lip Balm,Traditional Candle Wax,8.05,8,Soy Wax or Beeswax,8.21,2
Packaging Box,Polyamide 12,5.67,8, Biodegradable Polyamide 12,5.57,3
Clothing Apparel,Lotus Fiber,9.84,6,Aquatic Plant Fiber,9.88,2
Water Bottle,Coconut Oil-based Bioplastic,3.08,8,Compostable Plastic,3.08,3
Automotive Component,Shellac,1.53,7,Plant-based Resin,1.52,2
Packaging Box,Polyisoprene,6.89,8, Natural Rubber,6.84,3
Electronic Housing,Leaded Gasoline,3.13,10,Electric Vehicles,3.07,2
Electronic Housing,Aluminum Foil,8.64,8,Reusable Beeswax Wrap,8.59,2
General Appliance Part,Phenol,6.42,9,Natural Phenolics,6.33,3
Safety Glasses,Bio-based Polycarbonate,9.63,8,Recycled Polycarbonate,9.81,3
Water Bottle,Bio-based Bioplastic,9.27,8, Plant-based Bioplastics,9.23,3
Packaging Box,Styrofoam Cups,9.49,9,Compostable Paper Cups,9.24,3
Electronic Housing,Disposable Coffee Cups,3.25,9,Compostable PLA Cups,3.25,3
Curtains,Polyester Thread,7.94,8,Organic Cotton or Hemp Thread,8.11,2
Packaging Box,Vinyl Chloride Monomer,5.55,9,Bio-based Monomers,5.61,3
Automotive Component,Polymethyl Methacrylate (PMMA),3.48,9, Recycled PMMA,3.55,3
General Appliance Part,Treated Wood,0.25,8, Recycled Wood,0.25,3
Rubber Band,Nitrile Rubber,1.09,8, Natural Rubber,1.06,3
Sofa Cushion,Polyurethane Foam,6.35,9,Natural Latex or Coconut Fiber,6.28,3
Packaging Box,Methyl Chloroform,8.59,9,Citrus-based Solvents,8.58,2
General Appliance Part,Teak Wood,3.85,9,Bamboo Composites,3.95,3
Upholstery,Kenaf Fiber,0.36,6,Hibiscus Plant Fiber,0.35,2
General Appliance Part,Rapeseed Oil,4.83,8,Vegetable-based Oil,4.89,3
Soda Bottle,PETG,7.05,7,PLA-based materials,7.06,3
Packaging Box,Perfluorocarbons,3.2,10,Silicon-based Alternatives,3.19,4
Electronic Housing,Vinyl Acetate,7.81,8,Natural Acetylation,7.78,3
Automotive Component,Bisphenol A,2.67,9,Tritan Plastic,2.65,4
General Appliance Part,Conventional Soil Pots,5.98,7,Biodegradable Peat Pots,5.85,2
Adhesive,Adipic Acid,5.6,8,Bio-based Diacids,5.45,3
Electronic Housing,Soy-based Ink,4.79,7,Water-based Ink,4.67,2
General Appliance Part,Lead Paint,8.64,10,Natural Mineral Paint,8.6,2
General Appliance Part,Polysiloxane,1.21,8, Plant-based Siloxane,1.23,3
Packaging Box,Recycled Steel,3.79,8, Recycled Steel or Aluminum,3.79,3
Electronic Housing,PTFE,7.39,10,Ceramic Coating or Cast Iron,7.27,4
Jacket,Non-Woven Polyester,3.03,8,Biodegradable Bamboo Fiber,3.01,2
Packaging Box,Dimethylformamide,5.12,9,Bio-based Solvents,5.19,3
General Appliance Part,Recycled Cardboard,5.63,7,Recycled Paperboard,5.52,3
Electronic Housing,Hempcrete,0.99,7,Bamboo-based Insulation,0.99,3
Plumbing Tape,Teflon,7.75,10,Ceramic Coating or Cast Iron,7.65,4
Jacket,Polyester Rope,4.4,7,Hemp or Jute Rope,4.28,2
Electronic Housing,Compostable Utensils,2.05,8, Bamboo or Palm Leaf Utensils,2.03,3
Automotive Component,Recycled Paper Straws,6.5,8, Compostable Paper Straws,6.58,3
Blanket,Polyester Bags,2.14,8,Cotton or Canvas Bags,2.1,2
General Appliance Part,Traditional Nail Polish,9.2,8,Water-based Nail Polish,9.42,3
Automotive Component,Carbon Black,5.62,8,Biochar or Vegetable-based Pigments,5.45,3
Packaging Box,Sunflower Oil,5.38,8, Plant-based Oil,5.44,3
Electronic Housing,Conventional Soil Pots,0.47,7,Biodegradable Peat Pots,0.47,2
General Appliance Part,Arsenic Compounds,1.4,10,Natural Preservatives,1.37,3
Automotive Component,Acrylamide,3.71,9,Natural Polymers,3.76,3
Packaging Box,Vinyl Acetate,1.18,8,Natural Acetylation,1.18,3
Disposable Cup,Polystyrene (Styrofoam),3.07,9,Mushroom Packaging (Mycelium),3.15,1
Rubber Band,Nitrile Rubber,7.88,8, Natural Rubber,7.74,3
Packaging Box,Polyamide 6,0.97,7,Biodegradable Polyamide,0.96,3
Electronic Housing,Creosote-treated Wood,1.92,9,Heat-treated Wood,1.91,3
General Appliance Part,Arsenic Compounds,9.16,10,Natural Preservatives,9.31,3
Packaging Box,Methyl Chloroform,2.69,9,Citrus-based Solvents,2.75,2
General Appliance Part,Recycled Glass Bottles,3.06,8,Glass or Biodegradable Bottles,3.06,3
Eraser,Nitrile Rubber,3.63,8, Natural Rubber,3.72,3
Industrial Coating,Phenolic Resin,8.7,8, Bio-based Phenolic Resin,8.58,3
Electronic Housing,Polymethyl Methacrylate (PMMA),1.01,9, Recycled PMMA,1.03,3
Automotive Component,Hemp Paper,5.33,8, Recycled Paper,5.43,3
Electronic Housing,Chlorine,8.4,10,Hydrogen Peroxide,8.63,3
Handbag,Recycled Leather,1.86,9,Vegan Leather,1.9,3
Film,Cellulose Acetate Butyrate,1.78,7,Modified Natural Cellulose,1.8,2
Raincoat,Polyvinyl Chloride (PVC),1.88,8, Recycled PVC,1.89,3
Polishing Wax,Synthetic Wax,9.56,8,Beeswax or Soy Wax,9.63,3
Packaging Box,Mahogany,3.72,9,Fast-growing Hardwood,3.68,3
Automotive Component,Mercury Switches,6.56,10,Electronic Switches,6.66,3
Electronic Housing,Shellac,9.65,7,Plant-based Resin,9.49,2
Tote Bag,Conventional Cotton,2.94,7,Organic Cotton or Hemp,2.9,3
Water Bottle,Casein Plastics,9.98,7,Plant Protein Plastics,9.97,2
General Appliance Part,Polyamide 11,6.58,8,Biodegradable Polyamide,6.74,3
General Appliance Part,Acrylonitrile Styrene Acrylate,1.97,8,Bio-based Copolymers,1.98,3
Automotive Component,Biodegradable Paint,8.15,7,Natural Paints,8.33,2
Storage Container,Casein Plastics,8.94,7,Plant Protein Plastics,8.77,2
General Appliance Part,PTFE,7.73,10,Ceramic Coating or Cast Iron,7.92,4
Eyeglass Frame,Hydroxypropyl Cellulose,4.58,7,Modified Plant Cellulose,4.69,2
Belt,Recycled Leather,4.08,9,Vegan Leather,4.13,3
Electronic Housing,Conventional Soil Pots,4.01,7,Biodegradable Peat Pots,4.04,2
Shampoo Bottle,Polyethylene Terephthalate,4.87,8,Polylactic Acid,4.99,3
Automotive Component,Polyisobutylene,4.88,8,Natural Rubber Alternatives,4.74,3
Takeout Box,Recycled Polystyrene,8.17,8,Recycled Polystyrene or Bio-based Styrofoam,7.95,3
Automotive Component,Toxaphene,7.48,10,Botanical Pesticides,7.55,2
Bag,Water Hyacinth Fiber,0.2,6,Invasive Plant Fiber,0.2,2
Phone Case,Thermoplastic Elastomer (TPE),0.19,8, Biodegradable TPE,0.19,3
Electronic Housing,Acrylic Yarn,1.63,8,Bamboo Yarn or Organic Cotton Yarn,1.65,2
Packaging Box,Rice Husk Ash Cement,1.98,8,Agricultural Waste Cement,2.0,3
General Appliance Part,Polyhydroxyalkanoates,6.32,8,Biodegradable Polyhydroxyalkanoates,6.15,3
Packaging Box,Recycled Aluminum Foil,0.49,8,Reusable Beeswax Wrap,0.5,2
Automotive Component,Synthetic Rugs,2.33,8,Jute or Wool Rugs,2.35,3
Umbrella,Nylon 66,0.59,8,Biodegradable Polymers,0.59,3
Phone Case,Recycled Plastic,1.07,9, Plant-based Plastic,1.09,3
Storage Container,Polystyrene (Plastic),9.16,9,Bamboo or Compostable PLA,8.98,3
Sportswear,Polyester Thread,5.06,8,Organic Cotton or Hemp Thread,4.95,2
Bag,Hemp Fiber,1.96,8, Jute Fiber,2.01,3
Packaging Box,Disposable Plates,4.88,9,Palm Leaf or Areca Leaf Plates,4.74,2
Electronic Housing,Mineral Wool,9.8,8,Recycled Cotton Insulation,9.83,3
Electronic Housing,Halogenated Flame Retardants,4.84,9,Mineral-based Flame Retardants,4.74,3
Automotive Component,Isocyanates,6.24,10,Natural Polyols or Bio-based Polyurethanes,6.37,4
General Appliance Part,Compostable PLA,9.7,7,Plant-based PLA,9.98,2
Packaging Box,Styrene Acrylonitrile,0.39,8,Natural Copolymers,0.38,3
General Appliance Part,Wool,9.87,7,Cotton or Hemp,9.7,3
Squeeze Bottle,Polyethylene Foam,1.05,8, Recycled Foam,1.04,3
Vinyl Record,PVC Foam,1.31,8,Recycled Plastic Foam,1.31,3
Upholstery,Eucalyptus Pulp Fabric,7.12,6,Fast-growing Tree Fiber,6.94,2
Squeeze Bottle,Chlorinated Polyethylene,7.96,9,Natural Elastomers,8.05,3
Car Seat,Polyurethane (PU),6.96,8, Biodegradable PU,6.91,3
Wallet,Cactus Leather,2.48,7,Desert Plant Leather,2.49,2
Packaging Box,Biodegradable Paint,0.33,7, Natural Paints,0.34,2
Packaging Box,Chlordane,4.14,10,Biological Controls,4.08,2
Belt,Cork Leather,5.26,7,Tree Bark Leather,5.31,3
Automotive Component,Recycled Cardboard,5.08,7, Recycled Paperboard,5.07,3
Electronic Housing,Polyhydroxyalkanoates,9.6,8,Biodegradable Polyhydroxyalkanoates,9.87,3
Automotive Component,Acrylic Paint,8.68,7,Natural Pigments or Water-based Paints,8.48,2
Packaging Box,Recycled Aluminum Foil,2.36,8,Reusable Beeswax Wrap,2.32,2
Wallet,Leather,8.33,9,Plant-based Leather,8.4,3
Storage Container,Thermoplastic Elastomer (TPE),6.44,8, Biodegradable TPE,6.54,3
Packaging Box,Sunflower Oil,2.75,8, Plant-based Oil,2.77,3
Packaging Box,Polybenzoxazine,5.05,8, Bio-based Polybenzoxazine,5.07,3
Squeeze Bottle,Recycled Polyethylene Terephthalate (rPET),1.16,8, Bio-based PET,1.19,3
Film,Nitrocellulose,7.37,8,Natural Film Formers,7.38,3
Packaging Box,Vinyl,5.13,8,Recycled Wood or Bamboo,4.99,3
Packaging Box,Disposable Plates,5.1,9,Bamboo or Leaf Plates,5.25,2
Automotive Component,Soybean Oil,1.55,8,Bio-based Oil,1.57,3
Packaging Box,Algae Oil,1.14,8,Plant-based Oil,1.15,3
Molded Part,Polylactic Acid (PLA),0.37,6,Compostable PLA,0.37,2
Grocery Bag,Polyethylene Foam,1.7,8,Recycled Foam,1.69,3
Disposable Cutlery,Thermoplastic Polyolefin (TPO),3.33,8, Biodegradable TPO,3.29,3
Automotive Component,Halogenated Flame Retardants,1.51,9,Mineral-based Flame Retardants,1.54,3
Automotive Component,Silk,9.38,8,Synthetic Silk,9.24,3
Packaging Box,Recycled Glass Bottles,8.41,8, Glass or Biodegradable Bottles,8.61,3
Shampoo Bottle,Bio-polyethylene,9.52,8,Biodegradable Polyethylene,9.49,3
Automotive Component,Conventional Fertilizers,9.06,9,Organic Fertilizers,8.9,3
Packaging Box,Hemp Paper,8.56,8, Recycled Paper,8.8,3
General Appliance Part,Recycled Paper Bags,5.13,7,Compostable Paper Bags,5.02,3
Shoes,Synthetic Leather,8.92,9,Vegan Leather,8.69,3
General Appliance Part,Polyphenylene Sulfide,1.38,9,Bio-based Sulfides,1.38,4
General Appliance Part,Rapeseed Oil,0.75,8, Vegetable-based Oil,0.75,3
Electronic Housing,Polyimide,9.77,8,Biodegradable Polyimide,9.98,3
Automotive Component,Epichlorohydrin,7.91,9,Bio-based Epoxy,7.93,3
Blanket,Polyester Fiberfill,1.53,8,Kapok or Wool,1.53,2
Disposable Cutlery,Plastic Shopping Bags,3.26,9,Jute or Reusable Cloth Bags,3.31,2
Lip Balm,Traditional Candle Wax,0.74,8,Soy Wax or Beeswax,0.75,2
Storage Container,Plastic Bags,9.82,9,Reusable Cloth Bags,9.66,2
Jacket,Polyester Rope,4.49,7,Hemp or Jute Rope,4.59,2
Bag,Bamboo Fabric,0.84,8,Organic Cotton,0.84,3
General Appliance Part,Sisal,0.46,8,Hemp or Bamboo Fiber,0.45,3
Automotive Component,Polytetrafluoroethylene,6.91,10,Ceramic Coating,7.09,4
General Appliance Part,Hydrochlorofluorocarbons,8.99,9,CO2 Refrigeration,9.03,3
Packaging Box,Olive Pit Composites,1.93,6,Fruit Waste Composites,1.89,2
Grocery Bag,Recycled Polyethylene,1.43,8,Recycled Polyethylene or Biodegradable Polyethylene,1.47,3
Electronic Housing,Vinyl,6.95,8,Recycled Wood or Bamboo,6.75,3
Electronic Housing,Lead Pipes,4.6,10,PEX or Copper Pipes,4.58,3
Electronic Housing,Liquid Crystal Polymer,7.18,9,Natural Liquid Crystals,7.23,4
Automotive Component,Dieldrin,9.66,10,Natural Deterrents,9.42,2
Electronic Housing,Eucalyptus,1.64,8,Recycled Eucalyptus,1.68,3
Electronic Housing,Eucalyptus,7.31,8,Recycled Eucalyptus,7.42,3
Water Bottle,Polystyrene (Plastic),0.79,9,Bamboo or Compostable PLA,0.8,3
Car Seat,Polyurethane Varnish,1.76,8,Natural Oil Varnish,1.76,3
Electronic Housing,Phenol,6.62,9,Natural Phenolics,6.81,3
Packaging Box,Flax,2.29,7,Organic Cotton,2.27,3
Packaging Box,Caprolactam,0.92,8,Bio-based Amines,0.94,3
Packaging Box,Hexavalent Chromium,1.65,10,Trivalent Chromium,1.65,4
Upholstery,Coconut Fiber,5.59,8,Bamboo Fiber,5.44,3
Automotive Component,Natural Stone,0.31,7,Recycled Stone,0.31,3
Electronic Housing,Recycled Glass Bottles,4.03,8, Glass or Biodegradable Bottles,4.03,3
Squeeze Bottle,Polyethylene (Plastic),8.82,9,Jute or Cotton,8.68,2
Electronic Housing,Algae Oil,0.35,8, Plant-based Oil,0.35,3
Upholstery,Fiberglass Mat,1.88,8,Natural Fiber Mat,1.83,3
Packaging Box,Caprolactam,3.23,8,Bio-based Amines,3.21,3
Automotive Component,Traditional Asphalt,5.17,9,Recycled Rubber Pavement,5.32,4
Electronic Housing,Recycled Aluminum Cans,3.11,8, Recycled Aluminum,3.04,3
Blanket,Polyester Fiberfill,2.34,8,Kapok or Wool,2.39,2
Electronic Housing,Ethylene Propylene Diene Monomer (EPDM),9.23,8, Bio-based EPDM,9.3,3
General Appliance Part,Recycled Textiles,6.75,8, Organic Textiles,6.73,3
Automotive Component,Soybean Oil,2.39,8, Bio-based Oil,2.34,3
Eyeglass Frame,Bacterial Cellulose,2.36,6,Microbial Cellulose Films,2.34,2
